Priority,SKU,Category,Product Name (EN),Product Type,Weight (kg),Shipping Class,Regular Price (SAR),Sale Price (SAR),Amazon SA Ref Price,Audit Status,Has Sale Price,Has Amazon SA Ref,Dropship Eligible,Missing Fields,Suggested Next Action,Tag
A — Launch (auto-adjusted),NT-NAS-QNP-002,Homelab,QNAP TS-262-4G (2-Bay),Physical,2.5,Heavy,1899,,,FIXED,no,no,no,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NT-SRV-NVP-001,Homelab,NavePoint 1U Cantilever Rack Shelf,Physical,3,Heavy,249,,,FIXED,no,no,no,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NT-UPS-CYB-001,Homelab,CyberPower OR1500LCDRM1U (1500VA 1U),Physical,14,Oversized,2419,2099,,FIXED,yes,no,no,Amazon SA Ref,Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NG-NET-007,Networking,Ubiquiti EdgeRouter X - Advanced Gigabit Router in a Pocket-Sized Form,Physical,0.3,Standard,549,,,FIXED,no,no,yes,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NG-NET-010,Networking,Ubiquiti UniFi USW-Flex-Mini - Ultra-Compact 5-Port Managed Switch,Physical,0.2,Standard,219,,,FIXED,no,no,yes,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NG-SEC-001,Security & Surveillance,Reolink RLC-810A - 4K PoE AI Security Camera,Physical,0.6,Standard,549,,,FIXED,no,no,yes,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NG-SEC-005,Security & Surveillance,Reolink 16-Channel PoE NVR (RLN16-410) - 4K Network Video Recorder,Physical,3.5,Heavy,1599,,,FIXED,no,no,no,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NG-SH-001,Smart Home & IoT,Aqara Smart Door Lock A100 - Elite Security with Apple HomeKey Support,Physical,2,Heavy,1649,,,FIXED,no,no,no,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),SH-LCK-AQRA-001,Smart Home & IoT,Aqara Smart Lock U200,Physical,1.5,Standard,1439,1249,,FIXED,yes,no,yes,Amazon SA Ref,Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),SH-LCK-AUGS-001,Smart Home & IoT,August Wi-Fi Smart Lock (4th Gen),Physical,0.7,Standard,1499,1299,,FIXED,yes,no,yes,Amazon SA Ref,Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),SH-SWB-SWBT-003,Smart Home & IoT,SwitchBot Blind Tilt,Physical,0.15,Standard,479,,,FIXED,no,no,yes,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,NG-ENT-008,Homelab,APC Smart-UPS 1500VA LCD RM 2U (SMT1500RMI2U) - Pure Sine Wave Rack UPS,Physical,22,Oversized,4899,,,NO_REAL_PRICE_REFERENCE,no,no,no,"Sale Price, Amazon SA Ref",Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,NG-ENT-010,Homelab,Ubiquiti UniFi Switch Pro 24 PoE (USW-Pro-24-PoE) - Smart Managed PoE+ Switch,Physical,5.5,Heavy,4199,,,NO_REAL_PRICE_REFERENCE,no,no,no,"Sale Price, Amazon SA Ref",Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,NT-KVM-ATN-001,Homelab,ATEN CS1924M 4-Port DP KVM,Physical,1.5,Standard,2399,,,NO_REAL_PRICE_REFERENCE,no,no,yes,"Sale Price, Amazon SA Ref",Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,NT-KVM-TES-001,Homelab,TESmart HKS0401A1U 4-Port HDMI KVM,Physical,1.2,Standard,689,599,,NO_REAL_PRICE_REFERENCE,yes,no,yes,Amazon SA Ref,Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,NT-SRV-CBM-001,Homelab,Cable Matters 24-Port Cat6 Patch Panel (1U),Physical,1.5,Standard,239,,,NO_REAL_PRICE_REFERENCE,no,no,yes,"Sale Price, Amazon SA Ref",Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,NT-UPS-APC-001,Homelab,APC Smart-UPS SMT1500RM2UC (1500VA Rack),Physical,22,Oversized,4899,,,NO_REAL_PRICE_REFERENCE,no,no,no,"Sale Price, Amazon SA Ref",Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,NT-UPS-APC-002,Homelab,APC Back-UPS Pro BX1500M (Tower),Physical,12,Oversized,1839,1599,,NO_REAL_PRICE_REFERENCE,yes,no,no,Amazon SA Ref,Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,SH-BLD-IKEA-001,Smart Home & IoT,IKEA FYRTUR Blackout Smart Roller Blind,Physical,3.5,Oversized,1099,949,,NO_REAL_PRICE_REFERENCE,yes,no,no,Amazon SA Ref,Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,SH-HUB-HUBI-001,Smart Home & IoT,Hubitat Elevation C-8 Pro,Physical,0.3,Standard,1199,,,NO_REAL_PRICE_REFERENCE,no,no,yes,"Sale Price, Amazon SA Ref",Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,SH-LGT-LIFX-001,Smart Home & IoT,LIFX Color A19 1100lm Bulb,Physical,0.2,Standard,329,279,,NO_REAL_PRICE_REFERENCE,yes,no,yes,Amazon SA Ref,Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,SH-LWN-MAM-001,Smart Home & IoT,Mammotion LUBA 2 AWD 5000H - Wireless Robotic Lawn Mower,Physical,22,Oversized,14999,,,NO_REAL_PRICE_REFERENCE,no,no,no,"Sale Price, Amazon SA Ref",Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
D — Both missing,SH-LWN-WRX-001,Smart Home & IoT,Worx Landroid Vision M600 - Camera-Guided Robot Mower,Physical,15,Oversized,6999,,,NO_REAL_PRICE_REFERENCE,no,no,no,"Sale Price, Amazon SA Ref",Source supplier price + market reference.,confirmed_from_repo (post-scrape 2026-05-07)
