sku,name,category,current_sale_sar,best_landed_sar_est,best_channel,new_sale_sar_at_20pct_margin,profit_per_unit_sar,realized_margin_pct,reprice_delta_sar,action
SH-SWB-SWBT-001,SwitchBot Hub 2 (Matter Enabled),Smart Home &amp; IoT,479,358,Amazon.sa,450,92,20.5,-29,LOWER
SH-DSP-GGLE-001,Google Nest Hub (2nd Gen),Smart Home &amp; IoT,699,572,Noon,720,148,20.6,21,RAISE
NG-SH-011,SwitchBot Bot (S1) - Robotic Finger That Makes Any Button Smart,Smart Home &amp; IoT,279,239,Amazon.sa,300,61,20.5,21,RAISE
NG-SH-009,Aqara Motion Sensor P1 (MS-S02) - Wide-Angle 170° Smart PIR Sensor,Smart Home &amp; IoT,279,239,Amazon.sa,300,61,20.3,21,RAISE
NG-SH-005,Sonoff TX Ultimate (T5) Smart Wall Switch - Interactive Elegance with RGB,Smart Home &amp; IoT,269,227,Amazon.sa,290,63,21.6,21,RAISE
NG-CBL-007,DAC SFP+ 10G Direct Attach Cable (3m) - Direct Switch-to-Switch Connection,Cables &amp; Adapters,229,192,Amazon.sa,250,58,23.0,21,RAISE
SH-PLG-TPLK-001,"TP-Link Tapo P125M Smart Plug (Matter, 2-pack)",Smart Home &amp; IoT,149,131,Noon,170,39,22.7,21,RAISE
NT-SFP-FSC-001,FS.com 10GBASE-SR SFP+ Transceiver,Networking,129,117,Amazon.sa,150,33,22.2,21,RAISE
NT-MPC-BLK-001,Beelink SER7 (Ryzen 7 7735HS),Homelab,2399,1901,Amazon.sa,2380,479,20.1,-19,LOWER
NG-SH-013,Zemismart Zigbee Smart Tubular Motor (ZM25TQ) - Heavy-Duty Roller Blind Motor,Smart Home &amp; IoT,699,536,Amazon.sa,680,144,21.1,-19,LOWER
SH-SWB-SWBT-002,SwitchBot Bot (Smart Button Pusher),Smart Home &amp; IoT,239,176,Amazon.sa,220,44,20.1,-19,LOWER
SH-HUB-HUBI-001,Hubitat Elevation C-8 Pro,Smart Home &amp; IoT,1199,964,Amazon.sa,1210,246,20.3,11,RAISE
SH-SPK-AMZN-001,Amazon Echo (4th Gen),Smart Home &amp; IoT,699,565,Amazon.sa,710,145,20.5,11,RAISE
NT-SRV-NVP-001,NavePoint 1U Cantilever Rack Shelf,Homelab,249,202,Amazon.sa,260,58,22.4,11,RAISE
NG-CBL-006,Ugreen 5-in-1 USB-C Dock - HDMI 4K + Ethernet + USB 3.0,Cables &amp; Adapters,249,205,Amazon.sa,260,55,21.1,11,RAISE
NG-SH-008,Shelly Plus 1PM - Smart Wi-Fi Relay with Power Monitoring,Smart Home &amp; IoT,189,158,Amazon.sa,200,42,21.0,11,RAISE
NG-SH-015,Sonoff SNZB-02D Zigbee Temperature &amp; Humidity Sensor with LCD Display,Smart Home &amp; IoT,159,128,Noon,170,42,24.7,11,RAISE
NG-ACC-007,Anker PowerConf S330 USB Speakerphone - Smart Noise-Canceling Conference Speaker,Accessories &amp; Lifestyle,599,466,Amazon.sa,590,124,21.0,-9,LOWER
SH-SPK-AMZN-002,Amazon Echo Dot (5th Gen),Smart Home &amp; IoT,399,311,Amazon.sa,390,79,20.3,-9,LOWER
SH-LGT-LIFX-001,LIFX Color A19 1100lm Bulb,Smart Home &amp; IoT,279,215,Amazon.sa,270,55,20.3,-9,LOWER
SH-PLG-MERS-001,Meross Smart Plug Mini MSS110 (HomeKit),Smart Home &amp; IoT,159,116,Amazon.sa,150,34,22.6,-9,LOWER
NG-CBL-005,Baseus USB-C 100W Charging Cable (2m) - Fast Charge for Laptops and Phones,Cables &amp; Adapters,109,76,Amazon.sa,100,24,23.6,-9,LOWER
SH-SWB-SWBT-003,SwitchBot Blind Tilt,Smart Home &amp; IoT,479,377,Amazon.sa,480,103,21.5,1,KEEP
NG-SH-014,MOES Zigbee Smart Thermostat (BHT-002-GCLZB) - Programmable HVAC Control,Smart Home &amp; IoT,379,301,Amazon.sa,380,79,20.8,1,KEEP
NG-CBL-008,HDMI 2.1 8K Fiber Optic Cable (10m) - Zero Signal Loss,Cables &amp; Adapters,359,285,Noon,360,75,20.9,1,KEEP
NG-CBL-001,Ugreen USB-C to HDMI 2.1 Cable (2m) - 8K@60Hz Output,Cables &amp; Adapters,219,174,Amazon.sa,220,46,20.7,1,KEEP
NG-CBL-004,Ugreen Cat 8 Ethernet Cable (5m) - 40Gbps Network Cable,Cables &amp; Adapters,149,118,Noon,150,32,21.2,1,KEEP
